TabID,Provenience
P100164,Girsu (mod. Tello)
P100165,Girsu (mod. Tello)
P100166,Girsu (mod. Tello)
P100167,Girsu (mod. Tello)
P100168,Girsu (mod. Tello)
P100169,Girsu (mod. Tello)
P100170,Girsu (mod. Tello)
P100171,Girsu (mod. Tello)
P100172,Girsu (mod. Tello)
P100173,Girsu (mod. Tello)
P100174,Girsu (mod. Tello)
P100175,Girsu (mod. Tello)
P100176,Girsu (mod. Tello)
P100177,uncertain (mod. uncertain)
P100178,Girsu (mod. Tello)
P100179,uncertain (mod. uncertain)
P100180,uncertain (mod. uncertain)
P100181,Girsu (mod. Tello)
P100184,Umma (mod. Tell Jokha)
P100186,uncertain (mod. uncertain)
P100187,uncertain (mod. uncertain)
P100188,uncertain (mod. uncertain)
P100189,Puzriš-Dagan (mod. Drehem)
P100190,Puzriš-Dagan (mod. Drehem)
P100191,Puzriš-Dagan (mod. Drehem)
P100194,Girsu (mod. Tello)
P100195,Girsu (mod. Tello)
P100196,Girsu (mod. Tello)
P100197,Girsu (mod. Tello)
P100198,Girsu (mod. Tello)
P100199,Girsu (mod. Tello)
P100200,Girsu (mod. Tello)
P100201,Girsu (mod. Tello)
P100202,Girsu (mod. Tello)
P100203,Girsu (mod. Tello)
P100204,Girsu (mod. Tello)
P100205,Girsu (mod. Tello)
P100206,Girsu (mod. Tello)
P100207,Girsu (mod. Tello)
P100208,Girsu (mod. Tello)
P100209,Umma (mod. Tell Jokha)
P100210,Umma (mod. Tell Jokha)
P100211,Puzriš-Dagan (mod. Drehem)
P100212,Umma (mod. Tell Jokha)
P100213,...
P100214,Puzriš-Dagan (mod. Drehem)
P100215,Puzriš-Dagan (mod. Drehem)
P100216,...
P100217,Puzriš-Dagan (mod. Drehem)
P100218,Puzriš-Dagan (mod. Drehem)
P100219,Puzriš-Dagan (mod. Drehem)
P100220,Puzriš-Dagan (mod. Drehem)
P100221,Puzriš-Dagan (mod. Drehem)
P100222,Puzriš-Dagan (mod. Drehem)
P100223,Puzriš-Dagan (mod. Drehem)
P100224,Puzriš-Dagan (mod. Drehem)
P100225,...
P100226,Puzriš-Dagan (mod. Drehem)
P100227,Puzriš-Dagan (mod. Drehem)
P100228,Puzriš-Dagan (mod. Drehem)
P100229,Puzriš-Dagan (mod. Drehem)
P100230,Puzriš-Dagan (mod. Drehem)
P100231,Puzriš-Dagan (mod. Drehem)
P100232,Puzriš-Dagan (mod. Drehem)
P100234,Umma (mod. Tell Jokha)
P100235,Umma (mod. Tell Jokha)
P100236,Umma (mod. Tell Jokha)
P100237,Umma (mod. Tell Jokha)
P100238,uncertain (mod. uncertain)
P100239,Umma (mod. Tell Jokha)
P100240,Umma (mod. Tell Jokha)
P100241,Umma (mod. Tell Jokha)
P100242,Umma (mod. Tell Jokha)
P100243,Umma (mod. Tell Jokha)
P100244,Umma (mod. Tell Jokha)
P100245,Umma (mod. Tell Jokha)
P100246,Umma (mod. Tell Jokha)
P100247,...
P100248,Umma (mod. Tell Jokha)
P100249,Umma (mod. Tell Jokha)
P100250,Umma (mod. Tell Jokha)
P100251,Umma (mod. Tell Jokha)
P100252,Umma (mod. Tell Jokha)
P100253,Umma (mod. Tell Jokha)
P100254,Umma (mod. Tell Jokha)
P100255,Umma (mod. Tell Jokha)
P100256,Umma (mod. Tell Jokha)
P100257,Umma (mod. Tell Jokha)
P100258,Umma (mod. Tell Jokha)
P100259,Puzriš-Dagan (mod. Drehem)
P100260,Puzriš-Dagan (mod. Drehem)
P100261,Puzriš-Dagan (mod. Drehem)
P100262,Puzriš-Dagan (mod. Drehem)
P100263,Puzriš-Dagan (mod. Drehem)
P100264,Puzriš-Dagan (mod. Drehem)
P100265,Puzriš-Dagan (mod. Drehem)
P100266,Puzriš-Dagan (mod. Drehem)
P100267,Puzriš-Dagan (mod. Drehem)
P100268,Puzriš-Dagan (mod. Drehem)
P100269,Puzriš-Dagan (mod. Drehem)
P100270,Puzriš-Dagan (mod. Drehem)
P100271,Puzriš-Dagan (mod. Drehem)
P100272,Puzriš-Dagan (mod. Drehem)
P100273,Puzriš-Dagan (mod. Drehem)
P100274,uncertain (mod. uncertain)
P100276,Umma (mod. Tell Jokha)
P100277,Umma (mod. Tell Jokha)
P100278,Puzriš-Dagan (mod. Drehem)
P100279,...
P100280,uncertain (mod. uncertain)
P100281,Puzriš-Dagan (mod. Drehem)
P100282,Umma (mod. Tell Jokha)
P100283,Umma (mod. Tell Jokha)
P100284,Puzriš-Dagan (mod. Drehem)
P100285,Umma (mod. Tell Jokha)
P100286,Girsu (mod. Tello)
P100287,Puzriš-Dagan (mod. Drehem)
P100288,Umma (mod. Tell Jokha)
P100289,Umma (mod. Tell Jokha)
P100290,Umma (mod. Tell Jokha)
P100291,Umma (mod. Tell Jokha)
P100292,Puzriš-Dagan (mod. Drehem)
P100293,Umma (mod. Tell Jokha)
P100294,uncertain (mod. uncertain)
P100295,uncertain (mod. uncertain)
P100296,Puzriš-Dagan (mod. Drehem)
P100297,Puzriš-Dagan (mod. Drehem)
P100298,Umma (mod. Tell Jokha)
P100299,Umma (mod. Tell Jokha)
P100300,Girsu (mod. Tello)
P100301,uncertain (mod. uncertain)
P100302,uncertain (mod. uncertain)
P100303,uncertain (mod. uncertain)
P100304,Girsu (mod. Tello)
P100305,Girsu (mod. Tello)
P100306,Girsu (mod. Tello)
P100307,Girsu (mod. Tello)
P100308,Girsu (mod. Tello)
P100309,Girsu (mod. Tello)
P100310,Girsu (mod. Tello)
P100311,...
P100312,Girsu (mod. Tello)
P100313,Girsu (mod. Tello)
P100314,Girsu (mod. Tello)
P100315,Girsu (mod. Tello)
P100316,Girsu (mod. Tello)
P100317,Puzriš-Dagan (mod. Drehem)
P100318,Puzriš-Dagan (mod. Drehem)
P100319,...
P100320,Puzriš-Dagan (mod. Drehem)
P100321,Puzriš-Dagan (mod. Drehem)
P100322,Umma (mod. Tell Jokha)
P100323,Umma (mod. Tell Jokha)
P100324,Umma (mod. Tell Jokha)
P100325,Umma (mod. Tell Jokha)
P100326,Umma (mod. Tell Jokha)
P100327,Puzriš-Dagan (mod. Drehem)
P100328,Puzriš-Dagan (mod. Drehem)
P100329,Puzriš-Dagan (mod. Drehem)
P100330,Puzriš-Dagan (mod. Drehem)
P100331,Puzriš-Dagan (mod. Drehem)
P100332,Puzriš-Dagan (mod. Drehem)
P100333,Puzriš-Dagan (mod. Drehem) ?
P100334,Puzriš-Dagan (mod. Drehem)
P100335,Puzriš-Dagan (mod. Drehem)
P100336,Puzriš-Dagan (mod. Drehem)
P100337,Puzriš-Dagan (mod. Drehem) ?
P100338,Puzriš-Dagan (mod. Drehem)
P100339,Puzriš-Dagan (mod. Drehem)
P100340,Umma (mod. Tell Jokha)
