mu dumu-munus lugal ensi2 an-sa-anki-ke4 ba-an-du,sulgi 30b,47
mu us2-sa dumu-munus lugal ensi2 an-sa-anki-ke4 ba-an-tuku,sulgi 31a,48
mu kar2-harki a-ra2 2-kam-as ba-hul,sulgi 31b,48
mu si-mu-ru-umki a-ra2 3-kam-as ba-hul,sulgi 32,49
mu us2-sa si-mu-ru-umki a-ra2 3-kam-as ba-hul,sulgi 33a,50
mu kar2-harki a-ra2 3-kam-as ba-hul,sulgi 33b,50
mu us2-sa kar2-harki a-ra2 3-kam-as ba-hul,sulgi 34a,51
mu us2-sa a-ra2 3-kam-as si-mu-ru-umki ba-hul mu us2-sa-bi,sulgi 34b,51
mu an-sa-anki ba-hul,sulgi 34c,51
mu us2-sa an-sa-anki ba-hul,sulgi 35,52
mu us2-sa an-sa-anki ba-hul mu us2-sa-bi,sulgi 36a,53
mu dnanna ga-eski e2-ba-a ba-ku4,sulgi 36b,53
mu dnanna kar-zi-daki a-ra2 2-kam-as e2-a-na ba-an-ku4,sulgi 36c,53
mu dnanna kar-zi-daki e2-a-na ba-an-ku4,sulgi 36d,53
mu dnanna kar-zi-daki a-ra2 2-kam-ma-se3 e2-a-na ba-an-ku4,sulgi 36e,53
mu dnanna kar-zi-daki a-ra2 2-kam e2-a-na ba-an-ku4,sulgi 36f,53
mu dnanna kar-zi-daki e2-nun-na-se3 agrun-na-se3,sulgi 36g,53
mu us2-sa dnanna kar-zi-daki a-ra2 2-kam e2-a-na ba-an-ku4,sulgi 37a,54
mu dnanna u3 dsul-gi lugal-e bad3 ma-da mu-du3,sulgi 37b,54
mu bad3 ma-da ba-du3,sulgi 37c,54
mu us2-sa bad3 ma-da ba-du3,sulgi 38,55
mu us2-sa bad3 ma-da ba-du3 mu us2-sa-bi,sulgi 39a,56
mu dsul-gi lugal uri2ki-ma-ke4 lugal an ub-da limmu2-ba-ke4 e2-|PU3.SZA|-is-dda-ganki e2-dsul-gi-ra mu-du3,sulgi 39b,56
mu us2-sa e2-|PU3.SZA|-is-dda-ganki ba-du3-a,sulgi 40,57
mu us2-sa e2-|PU3.SZA|-is-dda-ganki ba-du3-a mu us2-sa-a-bi,sulgi 41,58
mu us2-sa e2-|PU3.SZA|-is-dda-ganki ba-du3-a mu us2-sa-a-ba mu us2-sa-a-bi,sulgi 42a,59
mu lugal-e sa-as-ru-umki mu-hul,sulgi 42b,59
mu us2-sa sa-as-ru-umki ba-hul,sulgi 43a,60
mu en-ubur-zi-an-na en-dnanna mas-e mas2-e i3-pa3,sulgi 43b,60
mu us2-sa en-dnanna mas-e mas2-e i3-pa3,sulgi 44a,61
mu si-mu-ru-umki u3 lu-lu-bu-um/bum2ki a-ra2 1(u) la2 1(asz@45)-kam-as ba-hul,sulgi 44b,61
mu us2-sa si-mu-ru-umki u3 lu-lu-bu-umki a-ra2 9-kam-as ba-hul,sulgi 45a,62
mu dsul-gi nita kal-ga lugal uri2ki-ma lugal an ub-da limmu2-ba-ke4 ur-bi2-lumki si-mu-ru-umki lu-lu-buki u3 kar2-harki 1-se3 sag-du-bi su-bur2-a bi2-ra-a / im-mi-ra,sulgi 45b,62
mu si-mu-ru-umki lu-lu-buki a-ra2 9-kam ba-hul,sulgi 45c,62
mu us2-sa ur-bi2-lumki ba-hul,sulgi 46a,63
mu dsul-gi nita kal-ga lugal uri2ki-ma lugal an ub-da limmu2-ba-ke4 ki-maski hu-ur5-tiki u3 ma-da-bi u4 1-a mu-hul,sulgi 46b,63
mu us2-sa ki-maski ba-hul,sulgi 47a,64
mu dsul-gi nita kal-ga lugal uri2ki-ma lugal an ub-da limmu2-ba-ke4 ki-maski hu-ur5-tiki u3 ma-da-bi u4 1-a mu-hul-a mu us2-sa-bi,sulgi 47b,64
mu us2-sa ki-maski ba-hul mu us2-sa-a-bi,sulgi 48a,65
mu ha-ar-siki ki-maski hu-ur5-tiki u3 ma-da-bi u4 1-bi ba-hul,sulgi 48b,65
mu ki-maski a-ra2 2-kam ba-hul,sulgi 48c,65
mu 2-kam ha-ar-siki ba-hul,sulgi 48d,65
mu damar-dsuen lugal-am3,amar-sin 1a,66
mu us2-sa ha-ar-šiki u3 ki-maški ba-hul,amar-sin 1b,66
mu damar-dsuen lugal-e ur-bi2-lumki mu-hul,amar-sin 2a,67
mu us2-sa damar-dsuen lugal,amar-sin 2b,67
mu us2-sa damar-dsuen lugal-e ur-bi2-lumki mu-hul,amar-sin 3a,68
mu damar-dsuen lugal-e dgu-za mah den-lil2-la2 ša3 hul2-la in-dim2,amar-sin 3b,68
mu us2-sa dgu-za mah / ša3 hul2-la den-lil2-la2 ba-dim2,amar-sin 4a,69
mu en-mah-gal-an-na en-dnanna ba-hun-ga2,amar-sin 4b,69
mu en-mah-gal-an-na en-dnanna maš2-e i3-pa3,amar-sin 4c,69
mu en-dnanna damar-dsuen-ra-ki-ag2-an-na maš2-e i3-pa3,amar-sin 4d,69
mu us2-sa en-mah-gal-an-na en-dnanna ba-hun,amar-sin 5a,70
mu en-unu6-gal-an-na / en-u3-nu-gal-an-na en-dinanna unuki-ga ba-hun,amar-sin 5b,70
mu us2-sa en-unu6-gal-an-na en-dinanna unuki-ga ba-hun,amar-sin 6a,71
mu damar-dsuen lugal-e ša-aš-ru-umki a-ra2 2(diš)-kam u3 šu-ru-ud-hu-umki mu-hul,amar-sin 6b,71
mu us2-sa ša-aš-ru-umki ba-hul,amar-sin 7a,72
mu damar-dsuen lugal-e bi2-tum-ra-bi2-umki i3-ab-ruki ma-da ma-da-bi u3 hu-uh2-nu-riki mu-hul,amar-sin 7b,72
mu us2-sa hu-uh2-nu-riki ba-hul,amar-sin 8a,73
mu en-nun-gal-an-na / en-nun-e-damar-dsuen ki-ag2 en eriduki ba-hun,amar-sin 8b,73
mu en-nun-ne2-ki-ag2,amar-sin 8c,73
mu us2-sa en-nun-ne2-ki-ag2,amar-sin 9a,74
mu us2-sa en eriduki ba-hun-ga2,amar-sin 9b,74
mu en-dnanna-damar-dsuen-ki-ag2-ra en-dnanna ga-eški / kar-zi-daki-ka a-ra2 3(diš)-kam ba-hun,amar-sin 9c,74
mu us2-sa en-dnanna kar-zi-daki-ka ba-hun,su-suen 1a,75
mu dšu-dsuen lugal-am3,su-suen 1b,75
mu us2-sa dšu-dsuen lugal,su-suen 2a,76
mu dšu-dsuen lugal uri2ki-ma-ke4 ma2 dara3-abzu den-ki in-dim2 mu-du8,su-suen 2b,76
mu us2-sa ma2 dara3-abzu den-ki ba-ab-du8 ba-dim2,su-suen 3a,77
mu dšu-dsuen lugal uri2ki-ma-ke4 si-ma-num2ki mu-hul,su-suen 3b,77
mu us2-sa dšu-dsuen lugal uri2ki-ma-ke4 si-ma-num2ki mu-hul,su-suen 4a,78
mu dšu-dsuen lugal uri2ki-ma-ke4 bad3 mar-tu mu-ri-iq ti-id-ni-im mu-du3,su-suen 4b,78
mu us2-sa dšu-dsuen lugal uri2ki-ma-ke4 bad3 mar-tu mu-ri-iq ti-id-ni-im mu-du3,su-suen 5,79
mu us2-sa dšu-dsuen lugal uri2ki-ma-ke4 bad3 mar-tu mu-ri-iq ti-id-ni-im mu-du3 mu us2-sa-a-bi,su-suen 6a,80
mu dšu-dsuen lugal uri2ki-ma-ke4 na-ru2-a mah den-lil2 dnin-lil2-ra mu-ne-du3,su-suen 6b,80
mu us2-sa dšu-dsuen lugal-e na-ru2-a mah mu-du3,su-suen 7a,81
mu dšu-dsuen lugal uri2ki-ma-ke4 lugal an ub-da 4-ba ma-da za-ab-ša-liki mu-hul,su-suen 7b,81
mu us2-sa ma-da za-ab-ša-liki ba-hul,su-suen 8a,82
mu dšu-dsuen lugal uri2ki-ma-ke4 ma2-gur8 mah den-lil2 dnin-lil2-ra mu-ne-dim2,su-suen 8b,82
mu us2-sa dšu-dsuen lugal uri2ki-ma-ke4 ma2-gur8 mah den-lil2 dnin-lil2-ra mu-ne-dim2,su-suen 9a,83
mu dšu-dsuen lugal uri2ki-ma-ke4 e2-dšara2 ummaki-ka mu-du3,su-suen 9b,83
mu di-bi2-dsuen lugal uri2ki-ma-ke4 e2-dšara2 ummaki mu-du3,ibbi-suen 1a,84
