TabID,Provenience
P121862,Umma (mod. Tell Jokha)
P121863,Umma (mod. Tell Jokha)
P121864,Umma (mod. Tell Jokha)
P121865,Umma (mod. Tell Jokha)
P121866,Umma (mod. Tell Jokha)
P121867,Umma (mod. Tell Jokha)
P121868,Umma (mod. Tell Jokha)
P121869,Umma (mod. Tell Jokha)
P121870,Umma (mod. Tell Jokha)
P121871,Umma (mod. Tell Jokha)
P121872,Umma (mod. Tell Jokha)
P121873,Umma (mod. Tell Jokha)
P121874,Umma (mod. Tell Jokha)
P121875,Umma (mod. Tell Jokha)
P121876,Umma (mod. Tell Jokha)
P121877,Umma (mod. Tell Jokha)
P121878,Umma (mod. Tell Jokha)
P121879,Umma (mod. Tell Jokha)
P121880,Umma (mod. Tell Jokha)
P121881,Umma (mod. Tell Jokha)
P121882,Umma (mod. Tell Jokha)
P121883,Umma (mod. Tell Jokha)
P121884,Umma (mod. Tell Jokha)
P121885,Umma (mod. Tell Jokha)
P121886,Umma (mod. Tell Jokha)
P121887,Umma (mod. Tell Jokha)
P121888,Umma (mod. Tell Jokha)
P121889,Umma (mod. Tell Jokha)
P121890,Umma (mod. Tell Jokha)
P121891,Umma (mod. Tell Jokha)
P121892,Umma (mod. Tell Jokha)
P121893,Umma (mod. Tell Jokha)
P121894,Umma (mod. Tell Jokha)
P121895,Umma (mod. Tell Jokha)
P121896,Umma (mod. Tell Jokha)
P121897,Umma (mod. Tell Jokha)
P121898,Umma (mod. Tell Jokha)
P121899,Umma (mod. Tell Jokha)
P121900,Umma (mod. Tell Jokha)
P121901,Umma (mod. Tell Jokha)
P121902,Umma (mod. Tell Jokha)
P121903,Umma (mod. Tell Jokha)
P121904,Umma (mod. Tell Jokha)
P121905,Umma (mod. Tell Jokha)
P121906,Umma (mod. Tell Jokha)
P121907,Umma (mod. Tell Jokha)
P121908,Umma (mod. Tell Jokha)
P121909,Umma (mod. Tell Jokha)
P121910,Umma (mod. Tell Jokha)
P121911,Umma (mod. Tell Jokha)
P121912,Umma (mod. Tell Jokha)
P121913,Umma (mod. Tell Jokha)
P121914,Umma (mod. Tell Jokha)
P121915,Umma (mod. Tell Jokha)
P121916,Umma (mod. Tell Jokha)
P121917,Umma (mod. Tell Jokha)
P121918,Umma (mod. Tell Jokha)
P121919,Umma (mod. Tell Jokha)
P121920,Umma (mod. Tell Jokha)
P121921,Umma (mod. Tell Jokha)
P121922,Umma (mod. Tell Jokha)
P121923,Umma (mod. Tell Jokha)
P121924,Umma (mod. Tell Jokha)
P121925,Umma (mod. Tell Jokha)
P121926,Umma (mod. Tell Jokha)
P121927,Umma (mod. Tell Jokha)
P121928,Umma (mod. Tell Jokha)
P121929,Umma (mod. Tell Jokha)
P121930,Umma (mod. Tell Jokha)
P121931,Umma (mod. Tell Jokha)
P121932,Umma (mod. Tell Jokha)
P121933,Umma (mod. Tell Jokha)
P121934,Umma (mod. Tell Jokha)
P121935,Umma (mod. Tell Jokha)
P121936,Umma (mod. Tell Jokha)
P121937,Umma (mod. Tell Jokha)
P121938,Umma (mod. Tell Jokha)
P121939,Umma (mod. Tell Jokha)
P121940,Umma (mod. Tell Jokha)
P121941,Girsu (mod. Tello)
P121942,Umma (mod. Tell Jokha)
P121943,Umma (mod. Tell Jokha)
P121944,Umma (mod. Tell Jokha)
P121945,Umma (mod. Tell Jokha)
P121946,Umma (mod. Tell Jokha)
P121947,Umma (mod. Tell Jokha)
P121948,Umma (mod. Tell Jokha)
P121949,Umma (mod. Tell Jokha)
P121950,Umma (mod. Tell Jokha)
P121951,Umma (mod. Tell Jokha)
P121952,Umma (mod. Tell Jokha)
P121953,Umma (mod. Tell Jokha)
P121954,Umma (mod. Tell Jokha)
P121955,Umma (mod. Tell Jokha)
P121956,Umma (mod. Tell Jokha)
P121957,Umma (mod. Tell Jokha)
P121958,Umma (mod. Tell Jokha)
P121959,Umma (mod. Tell Jokha)
P121960,Umma (mod. Tell Jokha)
P121961,Umma (mod. Tell Jokha)
P121962,Umma (mod. Tell Jokha)
P121963,Umma (mod. Tell Jokha)
P121964,Umma (mod. Tell Jokha)
P121965,Umma (mod. Tell Jokha)
P121966,Umma (mod. Tell Jokha)
P121967,Umma (mod. Tell Jokha)
P121968,Umma (mod. Tell Jokha)
P121969,Umma (mod. Tell Jokha)
P121970,Umma (mod. Tell Jokha)
P121971,Umma (mod. Tell Jokha)
P121972,Umma (mod. Tell Jokha)
P121973,Umma (mod. Tell Jokha)
P121974,Umma (mod. Tell Jokha)
P121975,Umma (mod. Tell Jokha)
P121976,Umma (mod. Tell Jokha)
P121977,Umma (mod. Tell Jokha)
P121978,Umma (mod. Tell Jokha)
P121979,Umma (mod. Tell Jokha)
P121980,Umma (mod. Tell Jokha)
P121981,Umma (mod. Tell Jokha)
P121982,Umma (mod. Tell Jokha)
P121983,Umma (mod. Tell Jokha)
P121984,Umma (mod. Tell Jokha)
P121985,Umma (mod. Tell Jokha)
P121986,Umma (mod. Tell Jokha)
P121987,Umma (mod. Tell Jokha)
P121988,Umma (mod. Tell Jokha)
P121989,Umma (mod. Tell Jokha)
P121990,Umma (mod. Tell Jokha)
P121991,Umma (mod. Tell Jokha)
P121992,Umma (mod. Tell Jokha)
P121993,Umma (mod. Tell Jokha)
P121994,Umma (mod. Tell Jokha)
P121995,Umma (mod. Tell Jokha)
P121996,Umma (mod. Tell Jokha)
P121997,Umma (mod. Tell Jokha)
P121998,Umma (mod. Tell Jokha)
P121999,Umma (mod. Tell Jokha)
P122000,Umma (mod. Tell Jokha)
P122001,Umma (mod. Tell Jokha)
P122002,Umma (mod. Tell Jokha)
P122003,Umma (mod. Tell Jokha)
P122004,Umma (mod. Tell Jokha)
P122005,Umma (mod. Tell Jokha)
P122006,Umma (mod. Tell Jokha)
P122007,Umma (mod. Tell Jokha)
P122008,Umma (mod. Tell Jokha)
P122009,Umma (mod. Tell Jokha)
P122010,Umma (mod. Tell Jokha)
P122011,Umma (mod. Tell Jokha)
P122012,Umma (mod. Tell Jokha)
P122014,Umma (mod. Tell Jokha)
P122015,Umma (mod. Tell Jokha)
P122016,Umma (mod. Tell Jokha)
P122017,Umma (mod. Tell Jokha)
P122018,Umma (mod. Tell Jokha)
P122019,Umma (mod. Tell Jokha)
P122020,Umma (mod. Tell Jokha)
P122021,Umma (mod. Tell Jokha)
P122022,Umma (mod. Tell Jokha)
P122023,Umma (mod. Tell Jokha)
P122025,Umma (mod. Tell Jokha)
P122026,Umma (mod. Tell Jokha)
P122027,Umma (mod. Tell Jokha)
P122028,Umma (mod. Tell Jokha)
P122029,Umma (mod. Tell Jokha)
P122030,Umma (mod. Tell Jokha)
P122031,Umma (mod. Tell Jokha)
P122032,Umma (mod. Tell Jokha)
P122033,Umma (mod. Tell Jokha)
P122034,Umma (mod. Tell Jokha)
P122035,Umma (mod. Tell Jokha)
P122036,Umma (mod. Tell Jokha)
P122037,Umma (mod. Tell Jokha)
P122038,Umma (mod. Tell Jokha)
P122039,Umma (mod. Tell Jokha)
P122040,Umma (mod. Tell Jokha)
P122041,Umma (mod. Tell Jokha)
P122042,Umma (mod. Tell Jokha)
P122043,Umma (mod. Tell Jokha)
P122044,Umma (mod. Tell Jokha)
P122045,Umma (mod. Tell Jokha)
P122046,Umma (mod. Tell Jokha)
