name
(x)-al-ba-ni
(x)-ba-ba-kam
(x)-du
(x)-du-a
(x)-e-ne-sze3
(x)-gal2
(x)-ge6-kam
(x)-gu7-bi
(x)-KU-i-la-ak
(x)-ku-zu-ni
(x)-lum-ma-da
(x)-ma-szum
(x)-NI
(x)-sze3
(x)-ti-na-usz-ur2
(x)-x
(x)-x-...
(x)-x-a
(x)-x-da
(x)-x-mu
(x)-x-ta
...
...-a
...-a-a
...-a-ah
...-a-bi2
...-a-bil2-ki-in
...-a-bu-ka
...-a-da
...-a-ga
...-a-hi
...-a-ku-la2
...-a-li-a-hi
...-a-lu-bi
...-a-mu
...-a-mu-bur2-re
...-a-na
...-a-nag
...-a-ni
...-a-ni-su
...-a-ra-gal2
...-a-sa6
...-a-ti
...-a-x
...-a-zi-da
...-a-zi-mu
...-a-zi-mu2-a
...-a-zu
...-a2
...-a2-dah
...-a2-me
...-a2-mu
...-a2-ta
...-a2-zi-da
...-ab
...-ab-ba
...-ab-bi
...-ab-id
...-ab-u2
...-ab2-zi
...-ad
...-ad-AN-x-MI-sze3
...-ad-da
...-ad-mu
...-ag2
...-ag2-dam
...-ak
...-al
...-al-la
...-am3
...-ama-mu
...-AN
...-AN-...
...-AN-a
...-an-da
...-an-dul3
...-an-ka-x
...-an-ku3-ge
...-an-na
...-AN-x
...-an-zi
...-ar-tum
...-ARAD2
...-ARAD2-x
...-ASZ
...-asz-um
...-asz2
...-ba
...-ba-a
...-ba-ag2
...-ba-ak
...-ba-am3
...-ba-di
...-ba-gara2
...-ba-mu
...-ba-ni
...-ba-ta-ab-e3
...-ba-tal
...-ba-ti
...-ba-tuku
...-ba-x
...-babbar2
...-bala
...-bala-sa6-ga
...-bala-saga
...-banda3{da}
...-bar
...-bar-ku3-ge
...-bar-ra
...-bar-re
...-bar-tab
...-bara2
...-bara2-si-ga
...-be-li2
...-bi
...-bi-gesz
...-bi-im
...-bi-mu
...-bi-ni
...-bi-ra
...-bi-x
...-bi2-la
...-bi2-la-num2
...-bi2-li2
...-bi2-ni-mu
...-bi2-ta
...-bi2-tum
...-bi2{muszen}
...-bil2
...-bu
...-bu-um{ki}-ma
...-bu3-mu
...-da
...-da-...
...-da-a
...-da-dug
...-da-ga
...-da-gal2
...-da-ka
...-da-mu
...-da-mu-da-gal2
...-da-NE
...-da-ni
...-da-nu
...-da-ri2-sza
...-da-szu4-hu
...-da-ta
...-da-ti
...-da-um
...-da-um-mi
...-da-x
...-da-zi-da
...-dab5-e-ra
...-dab5-ta
...-DAG-...{muszen}
...-dag-ga
...-dah
...-dalla
...-dalla-mu
...-dan
...-dar
...-DI
...-dingir
